nloci,reps,a1s,K1s,kernel,traits,time,mnnd
4,4,0.1,1000.0,Gaussian,Gaussian,1,0.35138638452905124
4,4,0.1,1000.0,Gaussian,Gaussian,2,0.3494351469927913
4,4,0.1,1000.0,Gaussian,Gaussian,3,0.3497864252516648
4,4,0.1,1000.0,Gaussian,Gaussian,4,0.3496936838718921
4,4,0.1,1000.0,Gaussian,Gaussian,5,0.349808302337104
4,4,0.1,1000.0,Gaussian,Gaussian,6,0.3498931889654516
4,4,0.1,1000.0,Gaussian,Gaussian,7,0.3499547445005607
4,4,0.1,1000.0,Gaussian,Gaussian,8,0.3499907077090729
4,4,0.1,1000.0,Gaussian,Gaussian,9,0.34999781561114596
4,4,0.1,1000.0,Gaussian,Gaussian,10,0.349974444118956
4,4,0.1,1000.0,Gaussian,Gaussian,11,0.3499212800470793
4,4,0.1,1000.0,Gaussian,Gaussian,12,0.34984113429764946
4,4,0.1,1000.0,Gaussian,Gaussian,13,0.34973840611215545
4,4,0.1,1000.0,Gaussian,Gaussian,14,0.3496184620248971
4,4,0.1,1000.0,Gaussian,Gaussian,15,0.3494870672026156
4,4,0.1,1000.0,Gaussian,Gaussian,16,0.3493499315742453
4,4,0.1,1000.0,Gaussian,Gaussian,17,0.349212386913159
4,4,0.1,1000.0,Gaussian,Gaussian,18,0.3490791849153774
4,4,0.1,1000.0,Gaussian,Gaussian,19,0.3489543942406544
4,4,0.1,1000.0,Gaussian,Gaussian,20,0.34884137138023047
4,4,0.1,1000.0,Gaussian,Gaussian,21,0.3487427821006568
4,4,0.1,1000.0,Gaussian,Gaussian,22,0.34866065430935017
4,4,0.1,1000.0,Gaussian,Gaussian,23,0.3485964477935664
4,4,0.1,1000.0,Gaussian,Gaussian,24,0.3485511305061772
4,4,0.1,1000.0,Gaussian,Gaussian,25,0.348525254540511
4,4,0.1,1000.0,Gaussian,Gaussian,26,0.3485190275854204
4,4,0.1,1000.0,Gaussian,Gaussian,27,0.3485322708532137
4,4,0.1,1000.0,Gaussian,Gaussian,28,0.3484802920366028
4,4,0.1,1000.0,Gaussian,Gaussian,29,0.3484517962611372
4,4,0.1,1000.0,Gaussian,Gaussian,30,0.34844329278821434
4,4,0.1,1000.0,Gaussian,Gaussian,31,0.3484531877381499
4,4,0.1,1000.0,Gaussian,Gaussian,32,0.34848026804162296
4,4,0.1,1000.0,Gaussian,Gaussian,33,0.34852344145534214
4,4,0.1,1000.0,Gaussian,Gaussian,34,0.3483258629743837
4,4,0.1,1000.0,Gaussian,Gaussian,35,0.3480759365646279
4,4,0.1,1000.0,Gaussian,Gaussian,36,0.34784415218641807
4,4,0.1,1000.0,Gaussian,Gaussian,37,0.34762978716594517
4,4,0.1,1000.0,Gaussian,Gaussian,38,0.3474320898493176
4,4,0.1,1000.0,Gaussian,Gaussian,39,0.34725029132929297
4,4,0.1,1000.0,Gaussian,Gaussian,40,0.34708361493852374
4,4,0.1,1000.0,Gaussian,Gaussian,41,0.3469312838091874
4,4,0.1,1000.0,Gaussian,Gaussian,42,0.34679252680789346
4,4,0.1,1000.0,Gaussian,Gaussian,43,0.346666583128481
4,4,0.1,1000.0,Gaussian,Gaussian,44,0.3465527057880977
4,4,0.1,1000.0,Gaussian,Gaussian,45,0.3464501642340988
4,4,0.1,1000.0,Gaussian,Gaussian,46,0.34635824623458245
4,4,0.1,1000.0,Gaussian,Gaussian,47,0.34627625919523347
4,4,0.1,1000.0,Gaussian,Gaussian,48,0.34620353101945384
4,4,0.1,1000.0,Gaussian,Gaussian,49,0.3461394106072701
4,4,0.1,1000.0,Gaussian,Gaussian,50,0.34608326807069306
4,4,0.1,1000.0,Gaussian,Gaussian,51,0.3460344947284721
4,4,0.1,1000.0,Gaussian,Gaussian,52,0.3459925029310702
4,4,0.1,1000.0,Gaussian,Gaussian,53,0.34595672575681674
4,4,0.1,1000.0,Gaussian,Gaussian,54,0.3459266166120283
4,4,0.1,1000.0,Gaussian,Gaussian,55,0.34590164876136476
