nloci,reps,a1s,K1s,kernel,traits,time,mnnd
5,6,0.1,1000.0,Gaussian,Gaussian,1,0.35922221968432405
5,6,0.1,1000.0,Gaussian,Gaussian,2,0.3571013940469663
5,6,0.1,1000.0,Gaussian,Gaussian,3,0.35488586382055415
5,6,0.1,1000.0,Gaussian,Gaussian,4,0.35197742315271324
5,6,0.1,1000.0,Gaussian,Gaussian,5,0.35117914445300985
5,6,0.1,1000.0,Gaussian,Gaussian,6,0.3508194888794691
5,6,0.1,1000.0,Gaussian,Gaussian,7,0.35020585148761724
5,6,0.1,1000.0,Gaussian,Gaussian,8,0.3494400354986535
5,6,0.1,1000.0,Gaussian,Gaussian,9,0.34932172155810476
5,6,0.1,1000.0,Gaussian,Gaussian,10,0.3495705279491647
5,6,0.1,1000.0,Gaussian,Gaussian,11,0.3502160040027743
5,6,0.1,1000.0,Gaussian,Gaussian,12,0.35126477505452025
5,6,0.1,1000.0,Gaussian,Gaussian,13,0.3526049471189865
5,6,0.1,1000.0,Gaussian,Gaussian,14,0.3543205858510853
5,6,0.1,1000.0,Gaussian,Gaussian,15,0.3563703917799813
5,6,0.1,1000.0,Gaussian,Gaussian,16,0.3587115108874203
5,6,0.1,1000.0,Gaussian,Gaussian,17,0.36130032724475575
5,6,0.1,1000.0,Gaussian,Gaussian,18,0.36407174136082465
5,6,0.1,1000.0,Gaussian,Gaussian,19,0.3665425649437203
5,6,0.1,1000.0,Gaussian,Gaussian,20,0.36909968680237765
5,6,0.1,1000.0,Gaussian,Gaussian,21,0.3717182543563915
5,6,0.1,1000.0,Gaussian,Gaussian,22,0.37437624671412606
5,6,0.1,1000.0,Gaussian,Gaussian,23,0.37705443054637444
5,6,0.1,1000.0,Gaussian,Gaussian,24,0.37941888953545727
5,6,0.1,1000.0,Gaussian,Gaussian,25,0.38180194258285577
5,6,0.1,1000.0,Gaussian,Gaussian,26,0.38396131095406255
5,6,0.1,1000.0,Gaussian,Gaussian,27,0.3861101526399787
5,6,0.1,1000.0,Gaussian,Gaussian,28,0.3882323879843926
5,6,0.1,1000.0,Gaussian,Gaussian,29,0.389527176699844
5,6,0.1,1000.0,Gaussian,Gaussian,30,0.39070032563274976
5,6,0.1,1000.0,Gaussian,Gaussian,31,0.3918386079963837
5,6,0.1,1000.0,Gaussian,Gaussian,32,0.39294013667080996
5,6,0.1,1000.0,Gaussian,Gaussian,33,0.39400359083360537
5,6,0.1,1000.0,Gaussian,Gaussian,34,0.3950281106250789
5,6,0.1,1000.0,Gaussian,Gaussian,35,0.39601321534100864
5,6,0.1,1000.0,Gaussian,Gaussian,36,0.3969587368992344
5,6,0.1,1000.0,Gaussian,Gaussian,37,0.39786476450294456
5,6,0.1,1000.0,Gaussian,Gaussian,38,0.39873159815042963
5,6,0.1,1000.0,Gaussian,Gaussian,39,0.3993656622246817
5,6,0.1,1000.0,Gaussian,Gaussian,40,0.3999686438622585
5,6,0.1,1000.0,Gaussian,Gaussian,41,0.40053640974573657
5,6,0.1,1000.0,Gaussian,Gaussian,42,0.4010688939342367
5,6,0.1,1000.0,Gaussian,Gaussian,43,0.4015666862134837
5,6,0.1,1000.0,Gaussian,Gaussian,44,0.4020306031132274
5,6,0.1,1000.0,Gaussian,Gaussian,45,0.40246156413929174
5,6,0.1,1000.0,Gaussian,Gaussian,46,0.40286054048895503
5,6,0.1,1000.0,Gaussian,Gaussian,47,0.40295392262821345
5,6,0.1,1000.0,Gaussian,Gaussian,48,0.4029578649427376
5,6,0.1,1000.0,Gaussian,Gaussian,49,0.40295314827526857
5,6,0.1,1000.0,Gaussian,Gaussian,50,0.40294013536892986
5,6,0.1,1000.0,Gaussian,Gaussian,51,0.40303158703268843
5,6,0.1,1000.0,Gaussian,Gaussian,52,0.4032579865637466
5,6,0.1,1000.0,Gaussian,Gaussian,53,0.4034689471055979
5,6,0.1,1000.0,Gaussian,Gaussian,54,0.40366498981658283
5,6,0.1,1000.0,Gaussian,Gaussian,55,0.40384662513184677
5,6,0.1,1000.0,Gaussian,Gaussian,56,0.40401435225397375
5,6,0.1,1000.0,Gaussian,Gaussian,57,0.40416865876543023
5,6,0.1,1000.0,Gaussian,Gaussian,58,0.40431002034709934
5,6,0.1,1000.0,Gaussian,Gaussian,59,0.4044389005882407
5,6,0.1,1000.0,Gaussian,Gaussian,60,0.40455575087476064
5,6,0.1,1000.0,Gaussian,Gaussian,61,0.40466101034428603
5,6,0.1,1000.0,Gaussian,Gaussian,62,0.40475510589801006
5,6,0.1,1000.0,Gaussian,Gaussian,63,0.40483845226061504
5,6,0.1,1000.0,Gaussian,Gaussian,64,0.4049114520807377
5,6,0.1,1000.0,Gaussian,Gaussian,65,0.40497449606544733
5,6,0.1,1000.0,Gaussian,Gaussian,66,0.40502796314307893
5,6,0.1,1000.0,Gaussian,Gaussian,67,0.405072220649534
5,6,0.1,1000.0,Gaussian,Gaussian,68,0.40510762453379023
5,6,0.1,1000.0,Gaussian,Gaussian,69,0.40513451957894747
5,6,0.1,1000.0,Gaussian,Gaussian,70,0.4051532396356325
5,6,0.1,1000.0,Gaussian,Gaussian,71,0.40516410786498724
5,6,0.1,1000.0,Gaussian,Gaussian,72,0.40516743698887514
5,6,0.1,1000.0,Gaussian,Gaussian,73,0.40516352954523205
5,6,0.1,1000.0,Gaussian,Gaussian,74,0.4051526781467906
5,6,0.1,1000.0,Gaussian,Gaussian,75,0.40494160326126977
5,6,0.1,1000.0,Gaussian,Gaussian,76,0.40472943045501436
5,6,0.1,1000.0,Gaussian,Gaussian,77,0.40441952539581727
5,6,0.1,1000.0,Gaussian,Gaussian,78,0.4040281310718073
5,6,0.1,1000.0,Gaussian,Gaussian,79,0.4036344608360875
5,6,0.1,1000.0,Gaussian,Gaussian,80,0.4032385761994779
5,6,0.1,1000.0,Gaussian,Gaussian,81,0.4028406074601842
5,6,0.1,1000.0,Gaussian,Gaussian,82,0.40244070792968045
5,6,0.1,1000.0,Gaussian,Gaussian,83,0.4020390364345921
5,6,0.1,1000.0,Gaussian,Gaussian,84,0.4016357504092627
5,6,0.1,1000.0,Gaussian,Gaussian,85,0.4012310032002127
5,6,0.1,1000.0,Gaussian,Gaussian,86,0.40082494307905686
5,6,0.1,1000.0,Gaussian,Gaussian,87,0.4004177129514217
5,6,0.1,1000.0,Gaussian,Gaussian,88,0.40000945034815844
5,6,0.1,1000.0,Gaussian,Gaussian,89,0.39960028752920057
5,6,0.1,1000.0,Gaussian,Gaussian,90,0.3991903516304496
5,6,0.1,1000.0,Gaussian,Gaussian,91,0.3987797648251033
5,6,0.1,1000.0,Gaussian,Gaussian,92,0.3983686444877669
5,6,0.1,1000.0,Gaussian,Gaussian,93,0.397957103356588
5,6,0.1,1000.0,Gaussian,Gaussian,94,0.397545249691538
5,6,0.1,1000.0,Gaussian,Gaussian,95,0.39713318742813786
5,6,0.1,1000.0,Gaussian,Gaussian,96,0.3967210163264094
5,6,0.1,1000.0,Gaussian,Gaussian,97,0.3963088321150304
5,6,0.1,1000.0,Gaussian,Gaussian,98,0.39589672663077285
5,6,0.1,1000.0,Gaussian,Gaussian,99,0.3954847879533162
5,6,0.1,1000.0,Gaussian,Gaussian,100,0.39502690677383534
5,6,0.1,1000.0,Gaussian,Gaussian,101,0.39453635832834466
5,6,0.1,1000.0,Gaussian,Gaussian,102,0.394048978472435
5,6,0.1,1000.0,Gaussian,Gaussian,103,0.39356475813764724
5,6,0.1,1000.0,Gaussian,Gaussian,104,0.3930836873487703
5,6,0.1,1000.0,Gaussian,Gaussian,105,0.3926057552928485
5,6,0.1,1000.0,Gaussian,Gaussian,106,0.3921309503835073
5,6,0.1,1000.0,Gaussian,Gaussian,107,0.39165926032090925
5,6,0.1,1000.0,Gaussian,Gaussian,108,0.3911906721476354
5,6,0.1,1000.0,Gaussian,Gaussian,109,0.39072517230073756
5,6,0.1,1000.0,Gaussian,Gaussian,110,0.3902627466602387
5,6,0.1,1000.0,Gaussian,Gaussian,111,0.38980338059429465
5,6,0.1,1000.0,Gaussian,Gaussian,112,0.3893323319304437
5,6,0.1,1000.0,Gaussian,Gaussian,113,0.3887260309952835
5,6,0.1,1000.0,Gaussian,Gaussian,114,0.38812153458026705
5,6,0.1,1000.0,Gaussian,Gaussian,115,0.38751889215186
5,6,0.1,1000.0,Gaussian,Gaussian,116,0.3869181503579916
5,6,0.1,1000.0,Gaussian,Gaussian,117,0.38631935315535604
5,6,0.1,1000.0,Gaussian,Gaussian,118,0.3857225419305553
5,6,0.1,1000.0,Gaussian,Gaussian,119,0.38512775561541485
5,6,0.1,1000.0,Gaussian,Gaussian,120,0.38453503079676593
5,6,0.1,1000.0,Gaussian,Gaussian,121,0.3839444018209771
5,6,0.1,1000.0,Gaussian,Gaussian,122,0.38335590089351174
5,6,0.1,1000.0,Gaussian,Gaussian,123,0.38276955817375663
5,6,0.1,1000.0,Gaussian,Gaussian,124,0.38218540186538014
5,6,0.1,1000.0,Gaussian,Gaussian,125,0.38160345830242504
5,6,0.1,1000.0,Gaussian,Gaussian,126,0.38102375203138555
5,6,0.1,1000.0,Gaussian,Gaussian,127,0.38044630588944267
5,6,0.1,1000.0,Gaussian,Gaussian,128,0.3798711410790807
5,6,0.1,1000.0,Gaussian,Gaussian,129,0.37929827723924786
5,6,0.1,1000.0,Gaussian,Gaussian,130,0.37872773251325054
5,6,0.1,1000.0,Gaussian,Gaussian,131,0.37815952361354344
5,6,0.1,1000.0,Gaussian,Gaussian,132,0.37759366588356746
5,6,0.1,1000.0,Gaussian,Gaussian,133,0.377030173356796
5,6,0.1,1000.0,Gaussian,Gaussian,134,0.3764690588131135
5,6,0.1,1000.0,Gaussian,Gaussian,135,0.3759103338326759
5,6,0.1,1000.0,Gaussian,Gaussian,136,0.37535400884737113
5,6,0.1,1000.0,Gaussian,Gaussian,137,0.3748000931899995
5,6,0.1,1000.0,Gaussian,Gaussian,138,0.374248595141288
5,6,0.1,1000.0,Gaussian,Gaussian,139,0.3736995219748503
5,6,0.1,1000.0,Gaussian,Gaussian,140,0.373152880000184
5,6,0.1,1000.0,Gaussian,Gaussian,141,0.37260867460380775
5,6,0.1,1000.0,Gaussian,Gaussian,142,0.3720669102886366
5,6,0.1,1000.0,Gaussian,Gaussian,143,0.3715275907116584
5,6,0.1,1000.0,Gaussian,Gaussian,144,0.3709907187200262
5,6,0.1,1000.0,Gaussian,Gaussian,145,0.37045629638560784
5,6,0.1,1000.0,Gaussian,Gaussian,146,0.3699243250381001
5,6,0.1,1000.0,Gaussian,Gaussian,147,0.36939480529674895
5,6,0.1,1000.0,Gaussian,Gaussian,148,0.3688677371007602
5,6,0.1,1000.0,Gaussian,Gaussian,149,0.3683431197384513
5,6,0.1,1000.0,Gaussian,Gaussian,150,0.3678209518752137
5,6,0.1,1000.0,Gaussian,Gaussian,151,0.3673012315803259
5,6,0.1,1000.0,Gaussian,Gaussian,152,0.36678395635269584
5,6,0.1,1000.0,Gaussian,Gaussian,153,0.3662691231455512
5,6,0.1,1000.0,Gaussian,Gaussian,154,0.36575672839014944
5,6,0.1,1000.0,Gaussian,Gaussian,155,0.365246768018548
5,6,0.1,1000.0,Gaussian,Gaussian,156,0.364739237485463
5,6,0.1,1000.0,Gaussian,Gaussian,157,0.36423413178928077
5,6,0.1,1000.0,Gaussian,Gaussian,158,0.36373144549224073
5,6,0.1,1000.0,Gaussian,Gaussian,159,0.3632311727398335
5,6,0.1,1000.0,Gaussian,Gaussian,160,0.3627333072794525
5,6,0.1,1000.0,Gaussian,Gaussian,161,0.36223784247832846
5,6,0.1,1000.0,Gaussian,Gaussian,162,0.36174477134077604
5,6,0.1,1000.0,Gaussian,Gaussian,163,0.3612540865247847
5,6,0.1,1000.0,Gaussian,Gaussian,164,0.3607657803579858
5,6,0.1,1000.0,Gaussian,Gaussian,165,0.3602798448530149
5,6,0.1,1000.0,Gaussian,Gaussian,166,0.35979627172229806
5,6,0.1,1000.0,Gaussian,Gaussian,167,0.359315052392294
5,6,0.1,1000.0,Gaussian,Gaussian,168,0.3588361780171963
5,6,0.1,1000.0,Gaussian,Gaussian,169,0.3583596394921463
5,6,0.1,1000.0,Gaussian,Gaussian,170,0.3578854274659396
5,6,0.1,1000.0,Gaussian,Gaussian,171,0.35741353235328926
5,6,0.1,1000.0,Gaussian,Gaussian,172,0.356943944346626
5,6,0.1,1000.0,Gaussian,Gaussian,173,0.35647665342747376
5,6,0.1,1000.0,Gaussian,Gaussian,174,0.3560116493774246
5,6,0.1,1000.0,Gaussian,Gaussian,175,0.35554892178869785
5,6,0.1,1000.0,Gaussian,Gaussian,176,0.35508846007434164
5,6,0.1,1000.0,Gaussian,Gaussian,177,0.35463025347805355
5,6,0.1,1000.0,Gaussian,Gaussian,178,0.35417429108365733
5,6,0.1,1000.0,Gaussian,Gaussian,179,0.3537205618242436
5,6,0.1,1000.0,Gaussian,Gaussian,180,0.3532690544909814
5,6,0.1,1000.0,Gaussian,Gaussian,181,0.35281975774162255
5,6,0.1,1000.0,Gaussian,Gaussian,182,0.3523726601087018
5,6,0.1,1000.0,Gaussian,Gaussian,183,0.3519277500074493
5,6,0.1,1000.0,Gaussian,Gaussian,184,0.3514850157434269
5,6,0.1,1000.0,Gaussian,Gaussian,185,0.351044445519889
5,6,0.1,1000.0,Gaussian,Gaussian,186,0.3506060274448955
5,6,0.1,1000.0,Gaussian,Gaussian,187,0.3501697495381641
5,6,0.1,1000.0,Gaussian,Gaussian,188,0.3497355997376914
5,6,0.1,1000.0,Gaussian,Gaussian,189,0.34930356590613476
5,6,0.1,1000.0,Gaussian,Gaussian,190,0.348873635836979
5,6,0.1,1000.0,Gaussian,Gaussian,191,0.3484457972604773
5,6,0.1,1000.0,Gaussian,Gaussian,192,0.3480200378493937
5,6,0.1,1000.0,Gaussian,Gaussian,193,0.34759634522453453
5,6,0.1,1000.0,Gaussian,Gaussian,194,0.3471747069600943
5,6,0.1,1000.0,Gaussian,Gaussian,195,0.34675511058881076
5,6,0.1,1000.0,Gaussian,Gaussian,196,0.3463375436069363
5,6,0.1,1000.0,Gaussian,Gaussian,197,0.3459219934790362
5,6,0.1,1000.0,Gaussian,Gaussian,198,0.34550844764261607
5,6,0.1,1000.0,Gaussian,Gaussian,199,0.34509689351259315
5,6,0.1,1000.0,Gaussian,Gaussian,200,0.3446873184855935
5,6,0.1,1000.0,Gaussian,Gaussian,201,0.3442797099441112
5,6,0.1,1000.0,Gaussian,Gaussian,202,0.3438740552605128
5,6,0.1,1000.0,Gaussian,Gaussian,203,0.34347034180089686
5,6,0.1,1000.0,Gaussian,Gaussian,204,0.34306855692881943
5,6,0.1,1000.0,Gaussian,Gaussian,205,0.3426686880088784
5,6,0.1,1000.0,Gaussian,Gaussian,206,0.34227072241017426
5,6,0.1,1000.0,Gaussian,Gaussian,207,0.34187464750964264
5,6,0.1,1000.0,Gaussian,Gaussian,208,0.3414804506952609
5,6,0.1,1000.0,Gaussian,Gaussian,209,0.34108811936914335
5,6,0.1,1000.0,Gaussian,Gaussian,210,0.34062858299938303
